year,nutrient,daily_avg_estimated,yearly_total,n_purchases,n_shopping_days,span_days,drv,unit,pct_drv
2023,Energy,9362.0,131068.0,401,14,353,2500.0,KCAL,374.48
2023,Protein,244.5214285714288,3423.3000000000034,401,14,353,160.0,G,152.825892857143
2023,Carbohydrate,838.7357142857145,11742.300000000003,401,14,353,320.0,G,262.1049107142858
2023,Total fat,323.70357142857114,4531.849999999996,401,14,353,80.0,G,404.62946428571394
2023,Fiber,55.32857142857143,774.6,401,14,353,30.0,G,184.42857142857144
2023,"Sugars, Total",0.0,0.0,401,14,353,50.0,G,0.0
2023,Calcium,1713.7142857142858,23992.0,401,14,353,1000.0,MG,171.37142857142857
2023,Iron,37.18999999999998,520.6599999999997,401,14,353,10.0,MG,371.89999999999986
2023,Magnesium,0.0,0.0,401,14,353,420.0,MG,0.0
2023,Potassium,2324.285714285714,32540.0,401,14,353,3400.0,MG,68.36134453781513
2023,Sodium,14858.857142857143,208024.0,401,14,353,1500.0,MG,990.5904761904762
2023,Zinc,4.591428571428572,64.28,401,14,353,11.0,MG,41.740259740259745
2023,"Vitamin A, RAE",110.57142857142857,1548.0,401,14,353,900.0,UG,12.285714285714286
2023,Vitamin C,65.91428571428573,922.8000000000001,401,14,353,90.0,MG,73.23809523809524
2023,Vitamin D (D2 + D3),0.0,0.0,401,14,353,20.0,UG,0.0
2023,Vitamin B-12,0.49000000000000005,6.86,401,14,353,2.4,UG,20.416666666666668
2023,"Folate, total",6.571428571428571,92.0,401,14,353,400.0,UG,1.6428571428571428
2023,Cholesterol,598.3571428571429,8377.0,401,14,353,300.0,MG,199.45238095238096
2023,"Fatty acids, total saturated",115.69357142857143,1619.71,401,14,353,20.0,G,578.4678571428572
2024,Energy,10276.872470985814,441905.51625239,1418,43,364,2500.0,KCAL,411.07489883943254
2024,Protein,292.0153488372088,12556.659999999978,1418,43,364,160.0,G,182.50959302325552
2024,Carbohydrate,881.0504651162831,37885.17000000017,1418,43,364,320.0,G,275.3282703488385
2024,Total fat,393.10093023256036,16903.340000000095,1418,43,364,80.0,G,491.37616279070045
2024,Fiber,72.3790697674418,3112.299999999998,1418,43,364,30.0,G,241.26356589147267
2024,"Sugars, Total",0.2618604651162791,11.26,1418,43,364,50.0,G,0.5237209302325582
2024,Calcium,1757.3488372093022,75566.0,1418,43,364,1000.0,MG,175.7348837209302
2024,Iron,38.4446511627908,1653.1200000000042,1418,43,364,10.0,MG,384.44651162790797
2024,Magnesium,35.2093023255814,1514.0,1418,43,364,420.0,MG,8.383167220376524
2024,Potassium,2657.3953488372094,114268.0,1418,43,364,3400.0,MG,78.15868673050616
2024,Sodium,18537.720930232557,797122.0,1418,43,364,1500.0,MG,1235.848062015504
2024,Zinc,0.3348837209302325,14.399999999999999,1418,43,364,11.0,MG,3.0443974630021136
2024,"Vitamin A, RAE",95.97674418604652,4127.0,1418,43,364,900.0,UG,10.664082687338503
2024,Vitamin C,118.73953488372102,5105.800000000004,1418,43,364,90.0,MG,131.9328165374678
2024,Vitamin D (D2 + D3),0.03488372093023256,1.5,1418,43,364,20.0,UG,0.1744186046511628
2024,Vitamin B-12,65.25023255813953,2805.7599999999998,1418,43,364,2.4,UG,2718.7596899224804
2024,"Folate, total",15.767441860465116,678.0,1418,43,364,400.0,UG,3.9418604651162785
2024,Cholesterol,677.5348837209302,29134.0,1418,43,364,300.0,MG,225.84496124031008
2024,"Fatty acids, total saturated",138.63890697674447,5961.473000000012,1418,43,364,20.0,G,693.1945348837223
2025,Energy,9324.248391162271,279727.4517348681,867,30,201,2500.0,KCAL,372.96993564649085
2025,Protein,311.42400000000066,9342.72000000002,867,30,201,160.0,G,194.6400000000004
2025,Carbohydrate,783.9702866666682,23519.108600000047,867,30,201,320.0,G,244.99071458333384
2025,Total fat,349.88300000000186,10496.490000000056,867,30,201,80.0,G,437.3537500000023
2025,Fiber,70.23893333333314,2107.167999999994,867,30,201,30.0,G,234.1297777777771
2025,"Sugars, Total",0.0,0.0,867,30,201,50.0,G,0.0
2025,Calcium,1932.968,57989.04,867,30,201,1000.0,MG,193.2968
2025,Iron,41.3142966666667,1239.428900000001,867,30,201,10.0,MG,413.142966666667
2025,Magnesium,20.04666666666667,601.4000000000001,867,30,201,420.0,MG,4.773015873015874
2025,Potassium,2667.3166666666666,80019.5,867,30,201,3400.0,MG,78.45049019607842
2025,Sodium,14101.1,423033.0,867,30,201,1500.0,MG,940.0733333333333
2025,Zinc,3.3014333333333337,99.043,867,30,201,11.0,MG,30.01303030303031
2025,"Vitamin A, RAE",80.9,2427.0,867,30,201,900.0,UG,8.988888888888889
2025,Vitamin C,97.39666666666662,2921.8999999999987,867,30,201,90.0,MG,108.21851851851847
2025,Vitamin D (D2 + D3),0.11666666666666667,3.5,867,30,201,20.0,UG,0.5833333333333334
2025,Vitamin B-12,0.4193333333333334,12.580000000000002,867,30,201,2.4,UG,17.472222222222225
2025,"Folate, total",39.745999999999995,1192.3799999999999,867,30,201,400.0,UG,9.936499999999999
2025,Cholesterol,734.7666666666667,22043.0,867,30,201,300.0,MG,244.92222222222222
2025,"Fatty acids, total saturated",120.25433333333368,3607.63000000001,867,30,201,20.0,G,601.2716666666684
